metric_family,metric_scope,metric,distance_kind,n_groups,mean_value,median_value,stderr
behavior_distribution_distance,distribution,fairness_wd,mean_wasserstein_1d,6,0.2252,0.22500000000000003,0.00887042526852261
behavior_distribution_distance,distribution,trust_wd,mean_wasserstein_1d,6,0.196,0.22,0.031240998703626614
behavior_distribution_distance,distribution,trustworthiness_wd,mean_wasserstein_1d,6,0.17900000000000002,0.17833333333333334,0.01098877092398204
behavior_distribution_distance,distribution,cooperation_wd,mean_wasserstein_1d,6,0.382,0.31,0.04912116538610304
behavior_distribution_distance,distribution,coordination_wd,mean_wasserstein_1d,6,0.362,0.36,0.026574841903992993
behavior_distribution_distance,distribution,fairness_offer_wd,wasserstein_1d,6,0.17040000000000002,0.12000000000000001,0.030405847390848284
behavior_distribution_distance,distribution,inequality_tolerance_wd,wasserstein_1d,6,0.28,0.29200000000000004,0.022175061067183872
behavior_distribution_distance,distribution,trust_send_wd,wasserstein_1d,6,0.196,0.22,0.031240998703626614
behavior_distribution_distance,distribution,trustworthiness_return_wd,wasserstein_1d,6,0.17900000000000002,0.17833333333333334,0.01098877092398204
behavior_distribution_distance,distribution,cooperation_pd_wd,wasserstein_1d,6,0.394,0.41,0.02700617213403879
behavior_distribution_distance,distribution,cooperation_sh_wd,wasserstein_1d,6,0.37,0.26,0.07538051619763704
behavior_distribution_distance,distribution,coordination_earth_wd,wasserstein_1d,6,0.362,0.36,0.026574841903992993
paper_index_distribution_distance,distribution,delegation_index_wd,wasserstein_1d,4,0.5057142857142857,0.4971428571428571,0.04437011925827106
paper_index_distribution_distance,distribution,payoff_index_wd,wasserstein_1d,6,0.19441263039068757,0.17467614685056548,0.014845482767463355
paper_index_distribution_distance,distribution,prosociality_index_wd,wasserstein_1d,6,0.21135727431069048,0.2,0.009767633572620636
paper_index_distribution_distance,distribution,kindness_index_wd,wasserstein_1d,6,0.2970149410774411,0.2866666666666667,0.018669653190649116
paper_index_distribution_distance,distribution,intentions_index_wd,wasserstein_1d,6,0.17031791877104377,0.16816666666666666,0.011301141736280915
paper_index_distribution_distance,distribution,predictability_index_wd,wasserstein_1d,6,0.320038821472645,0.31,0.02228094608071372
paper_index_distribution_distance,distribution,equality_index_wd,wasserstein_1d,6,0.15300000000000002,0.10000000000000002,0.027739589911980465
delegation_distribution_distance,distribution,mean_delegation_wd,mean_wasserstein_1d,4,0.5057142857142858,0.4971428571428572,0.04437011925827106
delegation_distribution_distance,distribution,C_delegated,wasserstein_1d,4,0.30000000000000004,0.22999999999999998,0.10984838035522723
delegation_distribution_distance,distribution,PD_delegated,wasserstein_1d,4,0.5800000000000001,0.6,0.05033222956847166
delegation_distribution_distance,distribution,SH_delegated,wasserstein_1d,4,0.5800000000000001,0.5800000000000001,0.04163331998932267
delegation_distribution_distance,distribution,TGReceiver_delegated,wasserstein_1d,4,0.44,0.47000000000000003,0.08205689083394115
delegation_distribution_distance,distribution,TGSender_delegated,wasserstein_1d,4,0.375,0.38,0.07675719293112968
delegation_distribution_distance,distribution,UGProposer_delegated,wasserstein_1d,4,0.675,0.6799999999999999,0.026299556396765827
delegation_distribution_distance,distribution,UGResponder_delegated,wasserstein_1d,4,0.5900000000000001,0.5700000000000001,0.033166247903554
scenario_state_distribution_distance,distribution,mean_role_state_tv,total_variation,6,0.48,0.43285714285714283,0.02324814380711265
scenario_state_distribution_distance,distribution,C_decision_state,total_variation,6,0.40125,0.32999999999999996,0.05184813561418256
scenario_state_distribution_distance,distribution,PD_decision_state,total_variation,6,0.44499999999999995,0.43999999999999995,0.028548204847240393
scenario_state_distribution_distance,distribution,SH_decision_state,total_variation,6,0.39375,0.37,0.05795741971482168
scenario_state_distribution_distance,distribution,TGReceiver_decision_state,total_variation,6,0.565,0.59,0.03981205847478876
scenario_state_distribution_distance,distribution,TGSender_decision_state,total_variation,6,0.24875,0.22999999999999998,0.03250480733676174
scenario_state_distribution_distance,distribution,UGProposer_decision_state,total_variation,6,0.535,0.5800000000000001,0.0684227057829977
scenario_state_distribution_distance,distribution,UGResponder_decision_state,total_variation,6,0.77125,0.8,0.03240209612561097
scenario_direct_value_distance,distribution,mean_numeric_direct_value_wd,mean_wasserstein_1d,6,1.0910571511664466,1.09,0.03444003245919706
scenario_direct_value_distance,distribution,UGProposer_decision_direct,wasserstein_1d,6,0.7650000000000001,0.5000000000000001,0.13869794955990236
scenario_direct_value_distance,distribution,UGResponder_decision_direct,wasserstein_1d,6,1.4028571428571428,1.42,0.08443365671451902
scenario_direct_value_distance,distribution,TGReceiver_decision_direct,wasserstein_1d,6,1.0545236298631884,1.0657142857142856,0.04764286944267423
