,Unnamed: 0,_id,index,assignment,full,runningAt,finishedAt,status,gameIds,gameLobbyIds,createdAt,archivedAt
42,42,wkks7gXbKPnHTEYzv,42,complete,True,2023-09-29T12:46:08Z,2023-09-29T13:08:27Z,finished,,"gZNY7fH74BoGpdiMk,XCabBPXLcM9Ev7ssq,CATbsDaTRRiuSjM6F,g2Qk3YD7xPASgkwki",2023-09-29T12:44:57Z,
43,43,xq5uZpz9ucpvRzx6K,43,complete,True,2023-09-29T13:10:20Z,2023-09-29T13:39:20Z,finished,,"xqCmsi4SBLqDyFbtD,u28PsMXQy7Qpsg8hQ,e6tARYJ8Auhxhkcih,rbhhLEyNwTbnqKWMf",2023-09-29T13:09:19Z,
44,44,3kpfKitd7zHTSkXWM,44,complete,True,2023-09-29T13:44:48Z,2023-09-29T14:09:03Z,finished,,"AkKpXm5WKgPqgXTX5,bac2ZjuZk92zQjPN4,6SoC6epyahaHq4Aqk,ziYL3nNeMLG9sGtTz",2023-09-29T13:40:00Z,
45,45,s7kwqomAa2u3HR5Yr,45,complete,True,2023-09-29T14:10:08Z,2023-09-29T14:50:48Z,finished,,"8g559tzcyHknHhGqS,PsMJzGW45eYzHhmrn,7errvqpTxvn2FkWnS,EEpd3uZzuS7TShmdH",2023-09-29T13:40:49Z,
46,46,gotCacYx6pvXEtSZf,46,complete,True,2023-09-29T14:54:13Z,2023-09-29T15:12:51Z,finished,,"xXHeSXRJtfmgzyQZK,3tST6tuakPSj9tKTJ,LHE7C8Wv7mXiat35S,oGqLmDLq3k9iK2sax,aHrsmibZfkeTR3sq8,KjFifkLpfcJrH25Lo,XSBNh3n7r4FXve28j,CTvcrHrFCpBQgc69c",2023-09-29T13:42:23Z,
47,47,kuuxzHN3HX6ThuKr2,47,complete,True,2023-09-29T15:16:30Z,2023-09-29T15:47:32Z,finished,,"nDdpHoeAnBRZw8ZGk,axRt2SghNFgKAcxsv,zHSydHxT3qxh5Z7b3,RwK2BFvCRH5G29wNT",2023-09-29T15:13:57Z,
48,48,ggqxgxK5Dro7XMnF3,48,complete,True,2023-09-29T15:51:38Z,2023-09-29T16:26:05Z,finished,,"EEe5Aynbvexiu25Q4,JyRS9pfe7NBuBTPwP,PLua4TqY8ncReacAe,w48b2EcDHyTak85HB,fMi55QFrvdrjRZFwr,RdnAyEZrrHATsrgMq",2023-09-29T15:31:23Z,
49,49,vT7A8ahzanYy6XcAw,49,complete,True,2023-10-06T16:52:15Z,2023-10-06T17:14:22Z,finished,,"eBKz8WtEtJHk5Kkhk,qwTuAqnvcuJee2e4j,6dqvAvzRitgMgaghe,MfwXsdpam9gYYghKo",2023-10-06T16:51:18Z,
50,50,G9jQNN4x42CEeW27Z,50,complete,True,2023-10-06T17:33:57Z,2023-10-06T18:00:57Z,finished,,"hY3ZZBKWFoSPWa3SH,iLiiPwTLDTLQvdbxP,33TyenkkqmAAHQSom,ohhPLT4kk6Zhgn4yF",2023-10-06T17:28:08Z,
51,51,Zeep9hhtK4dSNwcPD,51,complete,True,2023-10-06T18:09:09Z,2023-10-06T19:00:17Z,finished,,"CanYG4YQsqhfKD3Xd,2CpmMrTnRYQhD69qN,zhZNqqHS7Aa6X9P8M,wBzG27wHvgakgNDhy",2023-10-06T18:06:00Z,
52,52,ZN4TcZqvriwBYEQBw,52,complete,True,2023-10-06T19:01:35Z,2023-10-06T19:41:28Z,finished,,"qvuPwocGXob6tJYLA,h7dLf3iJFWxe2KbMy,vgvnQRWF4kobEXxRv,62jkonBJNwxE4uxCc,7o9sxLHXffQ4YEE3L,ZKtZh9DNoXyumaztq",2023-10-06T19:00:05Z,
53,53,vxWcR7gTgXThp2uJD,53,complete,True,2023-10-06T19:45:18Z,2023-10-06T20:12:30Z,finished,,"eGQSX2LhdDZgA36sj,2YFxArCtvNNrLdMEh,QZDADs6WknHQaW4sq,puq8vZ5ztaYYad4dk,GbjwyJcfLQpH5cCu3,7yyirNGEzfjhQMfbx",2023-10-06T19:43:09Z,
54,54,W7eZr5GvpiMsECynm,54,complete,True,2023-10-06T20:17:01Z,2023-10-06T20:37:44Z,finished,,"E4wk4FkAE6hxyBvGN,XxFqhCuRceBqcZKXJ,G6ZjvG8cmjw4tAj6T,wpdN66N9pAHhWsEkE",2023-10-06T20:07:50Z,
55,55,fnjfwux2qPiDB64tC,55,complete,True,2024-03-22T14:03:34Z,2024-03-22T14:33:01Z,finished,,"tdE5dFz3toTHkPcs2,vJjhQgXaEypDhJSTB,ypRjimF2itrJKQLYE,oxXs2x9cdabyzpNX3",2024-03-22T14:01:56Z,
56,56,GaqQfzmmKq2iXhu77,56,complete,False,,,cancelled,,"5vsuYyCtbrYzsREex,TCaj48HZnBT92TXRG,o37wZScXMDg29qx22,yww893D7fB8SijqJ6,Pww9ffMMjczEPTLoF",2024-03-29T14:57:48Z,
57,57,XdjshmuL8Bvk2krr2,57,complete,True,2024-03-29T15:01:41Z,2024-03-29T15:30:10Z,finished,,"fGsi37qfv5EwygYmn,k3B7FXdku4CJF6hPH,yQMhKhtLwGw4ucZdZ,5wPa3KXc3CN6CzKyT",2024-03-29T14:59:23Z,
58,58,JTMPKry7bAjLqbziN,58,complete,True,2024-04-19T16:06:14Z,2024-04-19T16:29:44Z,finished,,"RfPtPem8ZuZLCyAEF,WLCQkELwKKco9q6aq,YhjxhF5eLpavFvcCY,7to5RiJpshY2MvBNu",2024-04-19T16:04:13Z,
59,59,jLumMiaezW2CHGZqx,59,complete,True,2024-05-03T18:50:12Z,2024-05-03T19:20:21Z,finished,,"AfQEs5mo2WvAMib5t,mYBkJpTk2wbXYs7xE,WWMQML8rnpAFP2YMF,7rRMrZEp457b9pC3m",2024-05-03T18:49:53Z,
60,60,8woYnfhqZtfPFXrce,60,complete,True,2024-05-03T20:09:57Z,2024-05-03T20:30:42Z,finished,,"vmjofGxA8WS3W7YBr,nXMoDge4iDeRJenkz,6iLBXJmhY7rAmsriu,kDwKAMKhHHTiQ4GtS",2024-05-03T20:09:27Z,
61,0,S3JNJzMu5t26s3j26,1,complete,True,2024-05-14T15:52:44Z,2024-05-14T16:32:46Z,finished,,"j6QdPpNdHmZBpECWo,HBxzHrnfDWC4phmdw,cd9vk2vdTNEJcmhjt,5QNEkruDSQpYQ54a7,AwYmEZGGC7Z6PcHd8,XnSFtNHhqjrvmYWFX,56mkyKr2q9hbfJo5e,E5tqSkPqBYAYuYAdK,joud4ovCsZErt3f4G,nxD5eh2yyd4oZXPP3",2024-05-13T21:40:11Z,
62,1,7xEMnQRfuGvJuRgbi,2,complete,True,2024-05-14T18:46:37Z,2024-05-14T19:39:49Z,finished,,"7Dqmxs3oHzzCzEY25,gv3H4EqgWKzE7LQGF,X2zpj7ZG8apBebrzD,zSShqhQ7xiCcHZSJP",2024-05-14T18:34:29Z,
63,2,ooHmqzvg2ec7e6JZZ,3,complete,True,2024-05-15T15:30:00Z,2024-05-15T15:53:05Z,finished,,"qzrxrSMfsZKreEMsQ,PpHzZC4Xx3gzgWCEE,emnc7NRWF52cDXjwm,XvMGfuWMRnj7Zze5T,v4ZA3KgMeMbhmDdPt,z5KnsyKMZuhXgJc6s",2024-05-15T15:10:29Z,
64,3,gRkMJsj6yX6nZXHkR,4,complete,True,2024-05-15T18:14:58Z,2024-05-15T18:54:50Z,finished,,"qgiJN3G2M3RqmC4ea,G6oekPH7QWW5gEh8g,dwPjmfg4QLEFT9yXf,Xh4ppwSFKbzJGxPzB",2024-05-15T17:46:28Z,
65,4,DNkfhr3mmTpgseaPC,5,complete,True,2024-05-20T16:30:01Z,2024-05-20T16:52:26Z,finished,,"R9mg6ddTdNjw6MLDC,xkkRZu2N2XeBWnmqc",2024-05-20T16:04:13Z,
66,5,4XHaprJrRtCHoEarp,6,complete,True,2024-06-25T19:29:58Z,2024-06-25T20:15:43Z,finished,,"9CKnSuooyXfNQ7SmZ,9yZTFePmTSHgajWgp",2024-06-25T19:20:00Z,
67,6,ow4xzg4yXJTZ3iwNz,7,complete,True,2024-06-26T14:30:14Z,2024-06-26T14:41:06Z,finished,,"gXpWbfCwTmRTPZtpx,XzfyCNAqCDEyB8zFN",2024-06-26T14:06:20Z,
68,7,jXA8xT3jaRtnipBxM,8,complete,True,2024-06-26T15:41:27Z,2024-06-26T16:46:32Z,finished,,"JNimkKTMhv7RR3bxr,GCnCvjXC59gJ6uqDL",2024-06-26T14:46:29Z,
69,8,QA4hNJwMKbehCe9F2,9,complete,True,2024-06-26T17:10:21Z,2024-06-26T17:57:00Z,finished,,"mgmQxmdCniYLRAkeA,PA8cKvjyAJyuH4C36",2024-06-26T16:47:16Z,
70,9,NpQJXrSMsSehadJrw,10,complete,True,2024-06-27T18:44:59Z,2024-06-27T19:23:15Z,finished,,"XLvxd9EmkPHvF6pew,vBgnoMjpekcpYDSZq",2024-06-27T18:18:33Z,
71,10,rTqgxnyTgBg4f8tq7,1,complete,True,2024-05-14T15:52:47Z,2024-05-14T16:32:54Z,finished,,"GX7zLsMwHfJaT4w4m,LajtrYkcfNMZqaKbM",2024-05-13T21:41:10Z,
72,11,No4WHgGFv5DYAPEiT,2,complete,True,2024-05-14T18:46:44Z,2024-05-14T19:30:55Z,finished,,"tg5DSqH3GhjbKQhef,L8WY4CNnoZWXGj9t9,udY5Qm3YGQp32XWHz",2024-05-14T18:35:39Z,
73,12,jRKG4knAyPXy2eNHA,3,complete,True,2024-05-15T15:30:03Z,2024-05-15T16:09:03Z,finished,,"7XaGiWpfnXcbSBRB7,ZDNGM3rxgwp5Ywedv,8YXh4RiGFyz2WzNsM,NphNT2n89dprJcpgA",2024-05-15T15:12:23Z,
74,13,s2Nicq6Y4QN9YCo4Q,4,complete,True,2024-05-15T18:15:01Z,2024-05-15T18:46:20Z,finished,,"w7oZn8rW3v7T6ZYpy,yK3WaMDvWK3aXhFXR,e5uBwxZrBgFoLkR6N,dKYyRu3TxjNjcGDAh",2024-05-15T17:46:34Z,
75,14,JTmosj7XycijX3oTh,5,complete,True,2024-05-20T16:29:58Z,2024-05-20T16:42:57Z,finished,,"t2ianfmi7FS47WzB2,qgtPQJEH6uYFjDsiZ",2024-05-20T16:04:18Z,
76,15,tGFkPyepWRpxJnGr2,6,complete,True,2024-06-25T19:30:01Z,2024-06-25T20:05:38Z,finished,,"KAwWsZ7sAi5tvbvaP,YSZJmpMs7Ntz9SzAj",2024-06-25T19:20:27Z,
77,16,b7LewvremgsGMxk6T,7,complete,True,2024-06-26T14:30:16Z,2024-06-26T15:22:00Z,finished,,"nYdckEbzqQxHPSWrL,rS6Mo9aTLLyZ7HXDD",2024-06-26T14:07:23Z,
78,17,n3wapN4fxfTdDBkkx,8,complete,True,2024-06-26T15:41:31Z,2024-06-26T16:18:28Z,finished,,"CXhR5Losv8TykWDsP,rqeStug79wtjBMYn5",2024-06-26T15:22:51Z,
79,18,Hyoie4hbDWZ5Woy38,9,complete,True,2024-06-26T17:10:23Z,2024-06-26T17:49:01Z,finished,,"H3yngXww4Fk2g9Ara,pjLxDGMePZdh4Ttvm,McPNJRtjH4cL2Qic2,m79aZXA4GFZYbdAY4",2024-06-26T16:34:53Z,
80,19,CKy6gNTapnr3JTs6g,10,complete,True,2024-06-27T18:45:01Z,2024-06-27T19:08:35Z,finished,,"qh3hNaLaiXai2Mqa7,amJ5X3NpFmPRH72ZL",2024-06-27T18:19:08Z,
81,20,t3ti5j9Eq67edWAXK,1,complete,True,2024-05-14T15:52:45Z,2024-05-14T16:45:14Z,finished,,"TZ5uNCzFE3WzQtQtr,dAecdejNxFTB4va9u,mvL3NN2JMMeuEsjeW,P4o2hu2wNEiWY2f4c",2024-05-13T21:42:35Z,
82,21,yde92k79b4grWiCA4,2,complete,True,2024-05-14T18:46:40Z,2024-05-14T19:45:17Z,finished,,"YpkFruWttspZdKQoS,R2WKHrcFgikqLvYHG,oks7g8RobZHoggvxs,sfpiRNQgxApT3MEir,ft2TNYdF5z5CM2y9g,ZPG5iDWZzj4rDWWme",2024-05-14T18:37:10Z,
83,22,kf6w2sfmBdp4ZS6Nv,3,complete,True,2024-05-15T15:30:01Z,2024-05-15T15:55:59Z,finished,,"ufmbrcnKaMxcByHJu,PbnbbT8MCiaZRzwgM",2024-05-15T15:12:59Z,
84,23,a78ueQs92z8fP9tPd,4,complete,True,2024-05-15T18:15:00Z,2024-05-15T19:02:00Z,finished,,"dNgAcD6FLzDMap3Mv,h6PPMQJ63sE8QBQWy,puakCsf4JEpsKkSQD,mTL2sm4xW7z3kXTTn",2024-05-15T17:46:55Z,
85,24,7Ls3apWHgEuyiXxsR,5,complete,True,2024-05-20T16:30:00Z,2024-05-20T16:47:19Z,finished,,"QK4gCZ7BWrravTaAL,sMi35dD65HYStkZfG,bAPLKPhrnm4BHekC8,9T5eQaLgunhkheb4d",2024-05-20T16:04:23Z,
86,25,PB7DLXaEELaSB6Xuf,6,complete,True,2024-06-25T19:30:03Z,2024-06-25T20:33:00Z,finished,,"cWFLNmJfTKT8LbdcR,tAg9q2ANecZSWFGaT",2024-06-25T19:20:53Z,
87,26,fEaAZsr7Y6sNQgdgz,7,complete,True,2024-06-26T14:30:19Z,2024-06-26T14:45:32Z,finished,,"gndhFAQfgF9PwRbHx,8RwSyFp46rjQwX2zM",2024-06-26T14:08:21Z,
88,27,BCMbtvHPddToTxFfv,8,complete,True,2024-06-26T15:41:33Z,2024-06-26T16:05:46Z,finished,,"Ep7RASWzHevNh78dL,Xut3K98uPfJMEcaLp",2024-06-26T14:47:46Z,
89,28,2udJ2Ybt2HFMCK7wF,9,complete,True,2024-06-26T17:10:25Z,2024-06-26T17:37:05Z,finished,,"EiQexzqKqzprkv8Rh,Wh693tc2FgzWxBzS4",2024-06-26T16:35:44Z,
90,29,fEEhsqB4j557K6TnF,10,complete,True,2024-06-27T18:45:03Z,2024-06-27T19:16:35Z,finished,,"JFERtdbEhHGdPKL5G,5srShkDRaeNasJntF",2024-06-27T18:19:48Z,
